site,pisco_version,year,PRCPTOT_mm,CDD_days,CWD_days,RX1day_mm,RX5day_mm,R5mm_days,R10mm_days,SDII_mm_per_wetday,R95pTOT_mm,N95_days
Shukkloc,PISCO_v3,1981,279.95,127,52,12.71,26.83,7,1,2.92,29.91,3
Shukkloc,PISCO_v3,1982,213.07,161,15,12.39,28.23,8,1,2.96,18.56,2
Shukkloc,PISCO_v3,1983,485.84,145,23,21.86,65.01,35,11,5.28,212.78,18
Shukkloc,PISCO_v3,1984,227.07,149,14,5.53,21.82,2,0,2.32,0.0,0
Shukkloc,PISCO_v3,1985,172.77,112,13,4.73,17.0,0,0,2.27,0.0,0
Shukkloc,PISCO_v3,1986,196.96,164,7,10.11,25.54,11,1,3.18,18.18,2
Shukkloc,PISCO_v3,1987,246.74,125,13,6.44,20.95,3,0,2.42,4.5,1
Shukkloc,PISCO_v3,1988,141.41,125,6,8.17,15.8,5,0,2.57,11.66,2
Shukkloc,PISCO_v3,1989,277.08,122,10,8.89,26.16,14,0,2.74,12.73,2
Shukkloc,PISCO_v3,1990,129.86,106,6,6.65,17.56,1,0,2.13,10.11,2
Shukkloc,PISCO_v3,1991,134.76,62,7,7.42,28.98,5,0,2.45,0.0,0
Shukkloc,PISCO_v3,1992,150.63,97,8,5.87,21.0,1,0,2.06,0.0,0
Shukkloc,PISCO_v3,1993,454.08,107,31,9.87,39.88,33,0,3.63,9.87,1
Shukkloc,PISCO_v3,1994,313.32,175,21,7.91,33.47,14,0,2.96,6.07,1
Shukkloc,PISCO_v3,1995,226.01,126,10,10.99,24.47,8,2,2.4,21.88,2
Shukkloc,PISCO_v3,1996,300.75,135,13,15.07,33.72,17,1,3.2,30.41,3
Shukkloc,PISCO_v3,1997,328.18,144,13,15.82,40.78,17,4,3.49,93.88,10
Shukkloc,PISCO_v3,1998,565.51,98,38,19.74,56.51,45,11,5.0,210.81,20
Shukkloc,PISCO_v3,1999,383.34,122,28,13.64,40.32,18,2,3.04,33.14,4
Shukkloc,PISCO_v3,2000,384.14,119,28,12.4,38.38,26,3,3.84,110.63,12
Shukkloc,PISCO_v3,2001,343.03,125,19,10.86,30.99,18,2,3.18,46.34,6
Shukkloc,PISCO_v3,2002,289.99,110,5,23.49,48.91,14,2,3.37,76.29,7
Shukkloc,PISCO_v3,2003,207.97,168,12,10.77,21.62,8,1,2.77,25.37,3
Shukkloc,PISCO_v3,2004,192.3,143,7,12.23,24.36,5,2,2.96,34.36,4
Shukkloc,PISCO_v3,2005,168.56,161,9,10.67,21.22,7,1,2.91,19.41,2
Shukkloc,PISCO_v3,2006,352.78,121,12,16.75,34.09,26,2,3.67,70.39,7
Shukkloc,PISCO_v3,2007,250.43,152,30,11.29,28.93,12,2,3.09,25.88,3
Shukkloc,PISCO_v3,2008,324.56,99,13,13.14,40.25,18,4,3.28,64.8,6
Shukkloc,PISCO_v3,2009,432.94,109,15,14.53,37.45,23,6,3.52,121.71,12
Shukkloc,PISCO_v3,2010,248.46,125,8,12.38,25.23,13,2,3.23,23.34,2
Shukkloc,PISCO_v3,2011,243.67,200,9,8.81,28.36,11,0,3.16,16.64,2
Shukkloc,PISCO_v3,2012,256.68,145,8,9.93,31.01,10,0,2.85,9.93,1
Shukkloc,PISCO_v3,2013,242.96,123,16,15.43,33.69,16,2,3.24,43.52,4
Shukkloc,PISCO_v3,2014,256.77,128,11,12.97,27.49,9,1,2.82,34.63,4
Shukkloc,PISCO_v3,2015,236.88,124,14,14.1,55.69,9,4,2.92,46.87,4
Shukkloc,PISCO_v3,2016,153.95,158,6,8.96,29.15,12,0,3.58,17.1,2
Shukkloc,PISCO_v3,2017,501.69,129,33,16.9,58.53,33,13,4.87,229.31,19
Shukkloc,PISCO_v3,2018,339.52,134,15,20.42,43.43,21,4,3.69,78.77,7
Shukkloc,PISCO_v3,2019,305.59,128,11,13.16,28.61,18,1,3.36,36.23,4
Shukkloc,PISCO_v3,2020,211.01,138,10,8.41,26.88,14,0,3.46,30.94,4
Shukkloc,PISCO_v3,2021,269.62,130,8,13.95,42.09,11,3,3.1,36.86,3
Shukkloc,PISCO_v3,2022,239.75,103,17,9.65,28.22,18,0,3.2,18.95,2
Shukkloc,PISCO_v3,2023,593.7,155,14,23.76,96.99,32,13,4.64,274.89,21
Shukkloc,PISCO_v3,2024,252.71,149,9,11.41,26.76,9,2,3.01,47.48,5
Shukkloc,PISCO_v3,2025,143.99,137,12,7.9,21.31,5,0,2.48,15.55,2
Ricococha_Weetacocha,PISCO_v3,1981,136.99,160,11,7.52,24.95,6,0,2.54,37.83,7
Ricococha_Weetacocha,PISCO_v3,1982,170.37,156,11,5.82,19.83,2,0,2.18,20.12,4
Ricococha_Weetacocha,PISCO_v3,1983,272.38,141,24,13.57,39.22,19,2,3.17,123.11,18
Ricococha_Weetacocha,PISCO_v3,1984,140.53,154,15,6.66,22.02,3,0,2.3,17.11,3
Ricococha_Weetacocha,PISCO_v3,1985,114.62,205,12,4.95,19.13,0,0,1.98,8.32,2
Ricococha_Weetacocha,PISCO_v3,1986,175.94,161,10,6.25,18.91,3,0,2.28,15.82,3
Ricococha_Weetacocha,PISCO_v3,1987,165.64,136,9,6.84,26.76,4,0,2.18,38.44,7
Ricococha_Weetacocha,PISCO_v3,1988,152.21,126,8,5.9,18.02,2,0,2.06,5.9,1
Ricococha_Weetacocha,PISCO_v3,1989,242.04,45,14,5.35,15.2,1,0,1.97,8.82,2
Ricococha_Weetacocha,PISCO_v3,1990,156.98,44,9,4.66,17.5,0,0,1.94,14.17,4
Ricococha_Weetacocha,PISCO_v3,1991,150.09,85,11,7.65,22.68,5,0,2.27,24.27,4
Ricococha_Weetacocha,PISCO_v3,1992,43.66,85,6,4.43,8.73,0,0,1.62,2.18,1
Ricococha_Weetacocha,PISCO_v3,1993,164.52,110,14,5.95,20.4,2,0,2.11,7.3,2
Ricococha_Weetacocha,PISCO_v3,1994,163.54,154,14,5.81,19.92,3,0,2.18,16.31,3
Ricococha_Weetacocha,PISCO_v3,1995,131.12,140,14,5.91,20.56,2,0,2.11,5.91,1
Ricococha_Weetacocha,PISCO_v3,1996,120.18,164,8,5.56,14.79,2,0,2.23,5.56,1
Ricococha_Weetacocha,PISCO_v3,1997,155.08,131,10,8.31,25.48,4,0,2.35,42.31,8
Ricococha_Weetacocha,PISCO_v3,1998,165.21,184,17,5.6,24.26,2,0,2.26,11.19,2
Ricococha_Weetacocha,PISCO_v3,1999,134.16,130,6,4.76,13.04,0,0,1.89,13.14,4
Ricococha_Weetacocha,PISCO_v3,2000,93.75,196,7,3.49,12.89,0,0,1.74,0.0,0
Ricococha_Weetacocha,PISCO_v3,2001,95.68,212,14,3.19,13.49,0,0,1.71,0.0,0
Ricococha_Weetacocha,PISCO_v3,2002,156.09,169,11,6.79,17.33,1,0,2.14,14.03,3
Ricococha_Weetacocha,PISCO_v3,2003,79.09,188,5,6.46,13.38,2,0,1.8,11.97,2
Ricococha_Weetacocha,PISCO_v3,2004,64.7,185,6,5.11,15.67,1,0,1.85,14.31,3
Ricococha_Weetacocha,PISCO_v3,2005,87.91,226,7,5.22,20.54,3,0,2.38,0.0,0
Ricococha_Weetacocha,PISCO_v3,2006,170.74,140,12,5.31,21.77,1,0,2.28,26.65,6
Ricococha_Weetacocha,PISCO_v3,2007,151.32,132,11,5.88,19.39,3,0,2.44,20.42,4
Ricococha_Weetacocha,PISCO_v3,2008,98.54,104,7,4.2,15.56,0,0,2.1,0.0,0
Ricococha_Weetacocha,PISCO_v3,2009,206.04,144,15,5.43,17.79,3,0,2.32,27.66,6
Ricococha_Weetacocha,PISCO_v3,2010,125.88,154,7,8.94,18.18,2,0,2.06,21.15,3
Ricococha_Weetacocha,PISCO_v3,2011,107.77,177,6,6.96,18.52,1,0,1.92,6.96,1
Ricococha_Weetacocha,PISCO_v3,2012,170.1,145,9,5.18,16.7,1,0,2.15,9.52,2
Ricococha_Weetacocha,PISCO_v3,2013,120.86,161,22,6.41,25.14,3,0,2.37,18.31,3
Ricococha_Weetacocha,PISCO_v3,2014,136.87,140,17,4.26,16.79,0,0,1.9,2.24,1
Ricococha_Weetacocha,PISCO_v3,2015,80.17,175,10,5.02,21.42,1,0,1.96,0.0,0
Ricococha_Weetacocha,PISCO_v3,2016,65.01,167,7,4.28,14.63,0,0,2.03,0.0,0
Ricococha_Weetacocha,PISCO_v3,2017,191.73,134,18,7.48,25.8,6,0,2.66,37.44,6
Ricococha_Weetacocha,PISCO_v3,2018,184.85,147,13,7.8,24.04,2,0,2.2,21.11,4
Ricococha_Weetacocha,PISCO_v3,2019,96.39,129,9,3.73,14.15,0,0,1.78,5.5,2
Ricococha_Weetacocha,PISCO_v3,2020,132.6,103,9,5.78,21.9,4,0,2.41,26.23,5
Ricococha_Weetacocha,PISCO_v3,2021,144.7,140,9,9.37,32.05,5,0,2.33,47.47,8
Ricococha_Weetacocha,PISCO_v3,2022,113.57,188,11,7.33,15.94,1,0,2.32,18.79,4
Ricococha_Weetacocha,PISCO_v3,2023,274.42,112,15,10.69,44.65,10,1,2.66,71.78,11
Ricococha_Weetacocha,PISCO_v3,2024,114.88,123,5,11.64,24.01,1,1,1.91,11.64,1
Ricococha_Weetacocha,PISCO_v3,2025,133.42,148,11,6.16,22.46,3,0,2.19,20.15,4
