Year,Rx1day,Rx5day,R95pTOT,N95_Frequency,R5mm,R10mm,SDII,CDD,CWD,PRCPTOT
1996,15.06933307647705,33.71554946899414,15.06933307647705,1,17,1,3.1994168758392334,13,20,300.74517822265625
1997,15.822174072265625,40.77714538574219,63.7628698348999,6,17,4,3.4912848472595215,8,144,328.1807861328125
1998,19.73602867126465,56.51410675048828,160.95002603530884,14,45,11,5.0045061111450195,4,27,565.5092163085938
1999,13.641328811645508,40.32004928588867,28.505192279815674,3,18,2,3.0423741340637207,28,9,383.3391418457031
2000,12.397197723388672,38.381614685058594,90.0948600769043,10,26,3,3.8414113521575928,4,16,384.1411437988281
2001,10.86005973815918,30.992671966552734,30.111409664154053,4,18,2,3.1761813163757324,11,125,343.027587890625
2002,23.493112564086914,48.91059875488281,67.8395848274231,6,14,2,3.371999740600586,5,11,289.9919738769531
2003,10.765896797180176,21.62253189086914,10.765896797180176,1,8,1,2.772996425628662,12,168,207.9747314453125
2004,12.234856605529785,24.36200523376465,34.356589794158936,4,5,2,2.958527088165283,7,143,192.30426025390625
2005,10.674092292785645,21.221542358398438,8.734183311462402,1,7,1,2.9061970710754395,9,161,168.55943298339844
2006,16.748476028442383,34.091941833496094,60.702383518218994,6,26,2,3.6747777462005615,12,121,352.7786560058594
2007,11.285035133361816,28.92837142944336,15.53587007522583,2,12,2,3.091686964035034,12,152,250.42665100097656
2008,13.137229919433594,40.25267791748047,64.80346488952637,6,18,4,3.278376817703247,8,67,324.5592956542969
2009,14.532991409301758,37.452796936035156,102.52199602127075,10,23,6,3.5198354721069336,12,37,432.93975830078125
2010,12.384407043457031,25.229734420776367,23.33863639831543,2,13,2,3.2267098426818848,5,19,248.45664978027344
2011,8.809815406799316,28.357681274414062,8.809815406799316,1,11,0,3.1645126342773438,8,7,243.66748046875
2012,9.926602363586426,31.013978958129883,16.697743892669678,2,10,0,2.8520355224609375,8,145,256.6831970214844
2013,15.425183296203613,33.688690185546875,43.516629219055176,4,16,2,3.2394402027130127,10,123,242.95802307128906
2014,12.971842765808105,27.49074935913086,30.184800148010254,3,9,1,2.82163405418396,7,15,256.7687072753906
2015,14.099302291870117,55.694541931152344,25.517620086669922,2,9,4,2.924408197402954,14,11,236.87705993652344
2016,8.95600700378418,29.147233963012695,8.95600700378418,1,12,0,3.580230474472046,6,11,153.9499053955078
2017,16.903186798095703,58.527549743652344,193.32928228378296,15,33,13,4.870752334594727,8,129,501.6874694824219
2018,20.42470359802246,43.43444061279297,70.47842121124268,6,21,4,3.6904022693634033,15,134,339.5169982910156
2019,13.163809776306152,28.605836868286133,22.866599082946777,3,18,1,3.3581557273864746,10,128,305.5921630859375
2020,8.409797668457031,26.87847137451172,0.0,0,14,0,3.4591078758239746,10,138,211.00558471679688
2021,13.951295852661133,42.08742141723633,26.35971450805664,2,11,3,3.0990898609161377,8,17,269.6208190917969
2022,9.653132438659668,28.22158432006836,11.194378018379211,2,18,0,3.196626901626587,11,103,239.74700927734375
2023,23.759031295776367,96.99098205566406,250.0139889717102,18,32,13,4.638312339782715,14,7,593.7039794921875
2024,11.41262435913086,26.76372718811035,22.089940071105957,2,9,2,3.008481502532959,5,23,252.7124481201172
2025,7.900825023651123,21.31130599975586,0.0,0,5,0,2.482616662979126,12,137,143.99176025390625
