time,precip,site,version,selected_lat,selected_lon
1981-01-01,0.16094206,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-02,0.68438166,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-03,0.1858125,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-04,0.30427018,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-05,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-06,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-07,4.704808,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-08,2.655317,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-09,1.8890121,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-10,1.9388896,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-11,1.4989135,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-12,2.3491566,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-13,1.2628458,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-14,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-15,0.091306284,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-16,0.19974726,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-17,0.012908189,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-18,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-19,0.120188355,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-20,0.024907641,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-21,0.19228089,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-22,2.695291,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-23,2.645314,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-24,2.7780075,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-25,0.45199516,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-26,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-27,0.90750474,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-28,4.708494,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-29,3.6530263,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-30,10.462008,Shukkloc,PISCO_v2,-9.65,-77.75
1981-01-31,4.0689616,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-01,0.9003101,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-02,3.264767,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-03,3.137361,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-04,5.5840545,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-05,8.435578,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-06,2.1391702,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-07,2.7423077,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-08,6.095075,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-09,5.3148413,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-10,7.085894,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-11,6.5529747,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-12,7.789442,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-13,4.3898506,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-14,2.081487,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-15,1.8625904,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-16,2.9314048,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-17,2.8453581,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-18,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-19,5.448128,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-20,1.8000553,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-21,5.097776,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-22,10.980579,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-23,4.147542,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-24,2.641588,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-25,3.7764997,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-26,3.0473137,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-27,2.99431,Shukkloc,PISCO_v2,-9.65,-77.75
1981-02-28,2.8416045,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-01,3.1613739,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-02,1.8980693,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-03,2.500019,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-04,4.5010004,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-05,5.538257,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-06,6.882665,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-07,7.5200047,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-08,5.233297,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-09,2.3594968,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-10,3.018494,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-11,6.0733666,Shukkloc,PISCO_v2,-9.65,-77.75
